Scientific Name,#Occurrences
ansomys hepburnensis,95
chiroderma salvini,95
gracilinanus agilis,95
ischyromyid sp,95
perognathus xanthanotus,95
scotinomys teguina,95
acinonyx jubatus,94
epicyon diabloensis,94
eptesicus brasiliensis,94
hippopotamus amphibius,94
lepus capensis,94
microcosmodon conus,94
myotis adversus,94
notharctus nunienus,94
oryzomys nitidus,94
peromyscus eva,94
primate sp,94
propachynolophus gaudryi,94
spilogale gracilis/putorius,94
hipposideros larvatus,93
meniscotherium sp,93
nectomys apicalis,93
rhinolophus blasii,93
syconycteris australis,93
dipodomys nitratoides,92
eligmodontia puerulus,92
epomops franqueti,92
heteromyid sp,92
kirkomys parvus,92
pipistrellus javanicus,92
sciurus alleni,92
taphozous philippinensis,92
uintasorex sp,92
vampyressa pusilla,92
bradypus variegatus,91
diacodexis secans-primus,91
hipposideros commersoni,91
hypolagus vetus,91
micropteropus pusillus,91
moropus elatus,91
natalus lepidus,91
promioclaenus sp,91
tayassu pecari,91
cynomys sp,90
merychippus seversus,90
neacomys tenuipes,90
nesoryzomys indefessus,90
nycteris hispida,90
oligoryzomys fornesi,90
oxymycterus paramensis,90
xerus inauris,90
merychippus intermontanus,89
microtus meadensis,89
mytonolagus wyomingensis,89
nothrotheriops shastensis,89
procavia capensis,89
rhinolophus landeri,89
arvicola riparius,88
equus pacificus,88
gypsonictops illuminatus,88
meriones tristrami,88
mustela macrodon,88
neodon juldaschi,88
peradectes minor,88
rhinolophus virgo,88
uintasorex montezumicus,88
cainotherium laticurvatum,87
diphylla ecaudata,87
hipposideros maggietaylorae,87
potos flavus,87
rattus lutreolus,87
anourosorex yamashinai,86
ariteus flavescens,86
asellia tridens,86
graomys domorum,86
hyracotherium vasacciense,86
mictomys meltoni,86
mojavemys sp,86
necromys amoenus,86
peromyscus aztecus,86
proheteromys sulculus,86
tayassu tajacu,86
cerradomys subflavus,85
chaetodipus sp.,85
habromys ixtlani,85
lavia frons,85
neotamias quadrimaculatus,85
orthogeomys hispidus,85
poliocitellus franklinii,85
syncerus caffer,85
thomasomys taczanowskii,85
abrothrix xanthorhinus,84
dorcopsoides fossilis,84
mus minutoides,84
ochotona sp,84
allactaga balikunica,83
aphronorus sp,83
arctodus simus,83
equus burchelli,83
giraffa camelopardalis,83
marmosa robinsoni,83
pleurolicus sulcifrons,83
pliohippus edensis,83
spermophilus richardsonii,83
alphagaulus vetus,82
bunophorus sp,82
dipodomys sp.,82
dipodomys venustus,82
hesperomys leucopus,82
marmosops incanus,82
meniscotherium chamense,82
phenacolemur sp,82
tatera robusta,82
chilonatalus tumidifrons,81
dinohippus edensis,81
lonchophylla thomasi,81
mops thersites,81
peropteryx kappleri,81
tenrec ecaudatus,81
cryptomys hottentotus,80
entoptychus minor,80
hyracodon sp,80
knightomys depressus,80
leptomeryx evansi,80
phyllotis sp.,80
pteropus molossinus,80
thyroptera tricolor,80
akodon viridescens,79
eucrotaphus trigonocephalus,79
merycodus cerroensis,79
merycoidodont sp,79
microsorex hoyi,79
microsyops scottianus,79
oxyprimus erikseni,79
vampyressa nymphaea,79
acomys cahirinus,78
anemorhysis savagei,78
cainotherium commune,78
calomys tener,78
gerbillus pyramidum,78
limnoecus tricuspis,78
miocochilius anomopodus,78
ornithorhynchus anatinus,78
protoreodon sp,78
sciurus hudsonius,78
sciurus nayaritensis,78
smilodectes sp,78
spermophilus parvidens,78
atelerix albiventris,77
diplobunops matthewi,77
ectocion osbornianus,77
panthera onca,77
poebrotherium sp,77
sorex daphaenodon,77
apodemus argenteus,76
clethrionomys glareolus,76
copemys tenuis,76
ctenomys opimus,76
microryzomys altissimus,76
microtus rossiaemeridionalis,76
myotis dominicensis,76
paramyid ssp,76
trilaccogaulus bettae,76
xenicohippus sp,76
chaetodipus fallax,75
glossophaga ?,75
hemiechinus auritus,75
hipparion gracile,75
leptoreodon leptolophus,75
micronycteris minuta,75
microsyops latidens,75
nasua narica,75
ochotona dauurica,75
rhinolophus clivosus,75
teletaceras radinskyi,75
artibeus aztecus,74
canis sp.,74
creodont sp,74
diacodexis minutus,74
emballonura semicaudata,74
gazella dorcas,74
maxomys whiteheadi,74
melanomys caliginosus,74
mus triton,74
oryzomys talamancae,74
palaeolagus subhypsodus,74
